gameid,time,roundNum,clickStatus,clickP1,clickP2,clickP3,clickP4,clickP5,clickP6,clickP7,clickP8,clickLocS,clickLocL,alt1Status,alt1P1,alt1P2,alt1P3,alt1P4,alt1P5,alt1P6,alt1P7,alt1P8,alt1LocS,alt1LocL,alt2Status,alt2P1,alt2P2,alt2P3,alt2P4,alt2P5,alt2P6,alt2P7,alt2P8,alt2LocS,alt2LocL,outcome
8483-3,1461001713849,40,target, 190, 60, 180, 58, 57, 129, 93, 53, 3, 1, distr1, 56, 88, 106, 133, 161, 146, 246, 81, 1, 2, distr2, 161, 95, 204, 76, 206, 66, 224, 140, 2, 3, true
8483-3,1461001721464,41,target, 78, 137, 154, 95, 116, 234, 174, 115, 3, 2, distr2, 211, 199, 144, 66, 60, 177, 113, 234, 2, 1, distr1, 200, 63, 211, 175, 204, 219, 117, 232, 1, 3, true
8483-3,1461001732981,42,target, 62, 95, 145, 162, 124, 108, 163, 209, 1, 2, distr1, 142, 156, 242, 65, 233, 248, 148, 73, 3, 1, distr2, 55, 123, 125, 233, 202, 138, 106, 137, 2, 3, true
8483-3,1461001741438,43,target, 138, 195, 174, 169, 207, 197, 146, 123, 1, 2, distr1, 82, 172, 135, 137, 100, 243, 92, 59, 3, 1, distr2, 218, 227, 230, 64, 207, 143, 84, 58, 2, 3, true
8483-3,1461001749908,44,target, 217, 244, 77, 180, 194, 128, 125, 54, 1, 2, distr2, 95, 238, 80, 61, 62, 204, 71, 102, 2, 1, distr1, 65, 160, 94, 156, 112, 142, 197, 166, 3, 3, true
8483-3,1461001760176,45,target, 78, 229, 236, 68, 225, 145, 102, 165, 2, 3, distr1, 118, 112, 114, 131, 187, 102, 149, 177, 1, 1, distr2, 231, 181, 152, 225, 215, 102, 222, 153, 3, 2, true
8483-3,1461001778468,46,target, 121, 104, 152, 157, 159, 232, 120, 242, 1, 2, distr2, 104, 200, 176, 119, 178, 167, 184, 202, 3, 1, distr1, 62, 160, 142, 161, 104, 159, 198, 86, 2, 3, true
8483-3,1461001789788,47,target, 105, 79, 111, 102, 219, 124, 98, 153, 2, 2, distr1, 147, 199, 182, 130, 63, 127, 204, 144, 1, 3, distr2, 204, 52, 244, 102, 139, 134, 201, 205, 3, 1, true
8483-3,1461001799486,48,target, 118, 147, 69, 107, 119, 200, 99, 186, 1, 3, distr1, 105, 99, 204, 218, 192, 75, 106, 227, 2, 2, distr2, 98, 112, 56, 205, 214, 150, 143, 244, 3, 1, true
8483-3,1461001809120,49,target, 62, 152, 109, 69, 120, 99, 159, 52, 3, 1, distr2, 64, 213, 166, 130, 67, 97, 223, 89, 2, 2, distr1, 157, 235, 86, 97, 89, 134, 74, 236, 1, 3, true
8483-3,1461001815957,50,target, 59, 108, 92, 115, 198, 236, 161, 184, 1, 2, distr1, 206, 145, 85, 231, 60, 214, 118, 148, 2, 1, distr2, 167, 227, 144, 245, 139, 174, 231, 240, 3, 3, true
