iterationName	gameid	time	trialNum	intendedName	svgData	currStrokeNum	shiftKeyUsed	score	eventType
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473443626	6	straight	M67,79c20.47478,0 43.0375,12 64,12	3	0	5	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473446407	6	straight	M65,103c13.56122,6.78061 58.31925,9.31925 65,16	4	0	5	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473449333	6	straight	M61,146c21.91038,0 49.01434,5 70,5	5	0	5	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473452486	6	straight	M136,173c4.33703,0 10.05845,-30 33,-30c4.01386,0 1,7.98614 1,12c0,21.14514 4,42.44531 4,64	6	0	5	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473454443	6	straight	M168,136c-9.11303,0 -24.90368,3.04816 -33,-1	7	0	5	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473458152	6	straight	M80,156c2.18058,0 1.85493,5.8394 2,7c2.17144,17.37153 0,36.83168 0,54	8	0	5	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473460172	6	straight	M134,134c-6.23549,0 -49.45008,2.45008 -51,4c-1.77171,1.77171 -4,16.39779 -4,19	9	0	5	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473490122	7	crow	M106,120c-10.13779,0 -21.56479,6.56479 -28,13c-1.33333,1.33333 -4,4 -4,4c0,0 7.01088,-1 8,-1c13.32856,0 29.87763,-11.12237 41,0c14.74133,14.74133 -22.40876,24.18248 -10,49c5.13579,10.27158 9.02864,22.54296 16,33c11.71478,17.57217 39.54812,37 5,37	1	0	6	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473511541	7	crow	M105,118c11.40034,0 32.34635,-12.65365 45,0c3.87056,3.87056 6.21681,17.10841 12,20c18.74458,9.37229 29.89726,16.89726 44,31c3.45382,3.45382 -2.10715,13.89285 0,16c4.65859,4.65859 17.72574,-13.54853 24,-1c3.43673,6.87346 -3.05466,6.51367 -9,8c-2.66667,0.66667 -10.74874,2 -8,2c15.13392,0 50.16372,26.25624 65,33c3.39274,1.54215 10,1.27322 10,5c0,1.33333 -2.68481,0.2192 -4,0c-9.71685,-1.61947 -16.80351,-7.70088 -26,-10c-6.64864,-1.66216 -45.18879,-18.18879 -50,-23c-0.94281,-0.94281 0.94281,3.05719 0,4c-3.14232,3.14232 -6.20268,6.62667 -10,9c-5.81622,3.63514 -15.30917,3.61835 -19,11c-3.444,6.888 -11.99837,60.00163 -29,43	2	0	6	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473512293	7	crow	M133,251c-1.4955,0 -4,0.72523 -4,-1	3	0	6	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473512898	7	crow	M136,253c0,2.13214 0.01256,2.97488 -1,5	4	0	6	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473513428	7	crow	M130,251c0,2.77148 -1.72841,2.45682 -3,5	5	0	6	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473514115	7	crow	M133,256c-2.52909,0 -4,10.57447 -4,9	6	0	6	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473514890	7	crow	M148,262c-1.30347,2.60693 -2,6.0368 -2,9	7	0	6	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473515445	7	crow	M151,266c0,2.33333 0,4.66667 0,7	8	0	6	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473515943	7	crow	M146,258c-2.62632,1.31316 -5.10322,1 -8,1	9	0	6	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473546206	7	crow	M101,117c6.50802,-6.50802 37.15166,-21.77251 45,-10c1.40816,2.11224 4.79505,5.20495 3,7c-1.17851,1.17851 -3.33333,0 -5,0c-4.85964,0 -2.7048,-3.8524 -5,-5c-3.18962,-1.59481 -24.79149,-3.20851 -27,-1c-0.74536,0.74536 1.94591,1 3,1c3.19836,0 6.94106,1.23526 10,2c1.4462,0.36155 5.49071,2 4,2c-2.817,0 -18.33854,-0.08463 -14,1c6.00731,1.50183 13.30652,5 19,5c2.31441,0 4.4481,1 7,1c1.66667,0 6.49071,0.74536 5,0c-12.34327,-6.17164 -17.48725,-7 -33,-7c-3.72678,0 6.57455,3.53195 10,5c2.63132,1.12771 30.52757,10.94486 28,16c-0.78047,1.56095 -2.72426,-0.63235 -3,-1c-3.7444,-4.99253 -5.63131,-13.31565 -11,-16c-0.15385,-0.07692 -3.4359,0.4359 -2,-1c7.68969,-7.68969 24.89486,15.52572 23,25c-3.24179,16.20895 -22.23354,24.46707 -28,36c-1.00295,2.0059 -3.94723,25.47362 -5,26c-30.03949,15.01974 -0.05256,-43.63174 1,-46c0.60544,-1.36223 1.39456,-2.63777 2,-4c0.72904,-1.64034 1.43235,-3.29706 2,-5c0.14168,-0.42504 1.75502,-5.02006 2,-6c0.11877,-0.47509 2,-8 2,-8c0,0 -1.47833,12.42054 -6,29c-1.30384,4.78075 -3.63866,9.23531 -5,14c-0.18315,0.64102 0,2.66667 0,2c0,-27.90636 34.68391,-41.94826 28,-62c-0.74536,-2.23607 -0.61251,4.67505 -1,7c-0.3051,1.83058 -2.88863,10.66588 -3,11c-1.96032,5.88095 -4.69451,26.69451 -9,31c-0.33333,0.33333 -0.90755,-0.53775 -1,-1c-1.48146,-7.40728 1.56126,-15.87748 -2,-23c-2.35122,-4.70244 -21.2567,-8.51341 -26,-18c-0.32307,-0.64613 -2.21851,-2.78149 -2,-3c3.42129,-3.42129 33.03509,1.92983 30,8c-1.42915,2.85831 -15,-12 -15,-12l4,25c0,0 -0.78582,-1.28608 -1,-2c-2.36687,-7.88957 -3.46334,-11.04888 1,-17c0.90018,-1.20024 2.77475,-0.92831 3,2c1.60208,20.82698 -9,36.34208 -9,55c0,2.35702 1.35702,7 -1,7c-4.39487,0 -1.36714,-9.65382 -1,-11c6.26561,-22.97389 26.89244,-29.75799 35,-48c0.26919,-0.60567 4.5235,-10.23825 3,-11c-0.67158,-0.33579 -7.8964,26.42493 -9,29c-0.64435,1.50349 -6.19197,12.61607 -7,11c-3.00736,-6.01472 5.65088,-25.51871 8,-31c1.58658,-3.70202 8.60247,-9.19877 5,-11c-5.2278,-2.6139 -15.27037,13.42346 -20,15c-4.25441,1.41814 -5.51546,-9 -10,-9c-3.4801,0 6.80128,1.62912 10,3c5.3393,2.28827 10.71636,4.29091 13,10c5.00864,12.52159 -18.85383,27.41531 -22,40c-0.65179,2.60718 -1,8 -1,8c0,0 -0.3721,-6.02317 0,-9c0.98015,-7.84121 5.59189,-18.18379 9,-25c1.19274,-2.38547 12.68565,0.15718 15,-1c0.35808,-0.17904 4,-18 4,-18c0,0 -1.95318,22.81271 -2,23c-1.41846,5.67386 -4,12.9895 -4,19	10	0	6	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473562612	8	inlay	M58,114c3.25637,0 2,23.47279 2,27c0,24.79125 0,50.46471 0,75	1	0	7	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473566728	8	inlay	M120,115c0,32.98438 2,64.72292 2,95	2	0	7	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473570974	8	inlay	M45,117c15.55418,0 71.2987,9.35065 80,5c3.05429,-1.52715 -3.3607,-25.44279 -4,-28c-0.97351,-3.89402 5.01386,-12 1,-12c-1.79505,0 -3.50642,1.00428 -5,2c-14.84949,9.89966 -48.20091,4.31442 -67,7c-0.45153,0.0645 -3.8487,-0.30261 -4,0c-3.49381,6.98762 2,17.68924 2,24	3	0	7	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473581600	8	inlay	M58,211c11.20261,0 64.01487,-5.49256 67,-4c5.87717,2.93859 9.90548,18.71644 12,25c0.74682,2.24045 11.87393,10.06303 10,11c-9.07188,4.53594 -78.39639,10.30181 -89,5c-0.89443,-0.44721 0.24254,-2.02986 0,-3c-5.64524,-22.58097 -22.55152,-37 10,-37	4	0	7	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473583612	8	inlay	M44,215c0,17.39975 2,35.0023 2,52	5	0	7	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473584986	8	inlay	M62,249c0,11.51271 4,22.20734 4,34	6	0	7	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473588634	8	inlay	M123,248c0,2.96924 2,5.12876 2,8	7	0	7	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473590163	8	inlay	M143,245c0,10.87462 -1,20.38565 -1,31	8	0	7	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473591181	8	inlay	M124,250c-2.0955,2.0955 -1,7.90863 -1,11	9	0	7	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473611993	9	hatchback	M73,196c0,5.70789 -4,11.383 -4,18c0,8.86652 5.19592,25.08245 17,18c7.82787,-4.69672 1.47969,-36.76015 -7,-41	1	0	8	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473613675	9	hatchback	M163,190c-11.30389,5.65195 -23.0938,12.34342 -21,27c0.35727,2.50086 11.73692,25.57886 17,19c4.3917,-5.48963 4.44388,-19.99745 6,-27c1.31603,-5.92213 0,-14.06782 0,-18	2	0	8	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473631657	9	hatchback	M171,117c-9.30113,0 -20.74344,7.82049 -29,9c-33.30452,4.75779 -66.60751,14.07167 -95,33c-7.37777,4.91851 -11.43602,38.56398 -5,45c3.40778,3.40778 9.84356,-1.94785 13,-3c3.53553,-1.17851 9.33333,5.33333 11,2c2.16895,-4.3379 2.69025,-15.07744 11,-13c6.4148,1.6037 14.7979,8.7979 20,14c0.94281,0.94281 2.69256,0.26149 4,0c7.70882,-1.54176 30.26752,-1.63376 35,-4c3.0445,-1.52225 7.77746,-11.55491 9,-14c2.67457,-5.34914 18.78837,1.78837 20,3c1.69967,1.69967 4,8.4037 4,6c0,-15.16132 13.14761,-51.55718 9,-64c-1.76932,-5.30796 -4.57167,-15.64292 -10,-17c-0.91466,-0.22866 -2,-1.05719 -2,-2	3	0	8	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473675786	10	bloodhound	M87,160c0,13.11917 -20.75861,45.12069 -7,52c1.44802,0.72401 3.01418,-0.34279 4,-1c4.16913,-2.77942 9.75148,-35.50297 14,-44c0.62096,-1.24191 3.69219,-4.98086 5,-4c15.49062,11.61797 -13.1909,57.06363 11,49c25.3233,-8.4411 -5.61352,-42.79549 16,-50c1.00387,-0.33462 9.18102,-3.81898 10,-3c0.16972,0.16972 0.08716,2.73853 0,3c-2.81688,8.45063 -0.83939,45 7,45c0.36643,0 -1,-8.2943 -1,-9c0,-4.30033 -0.66159,-37.66921 2,-39c14.90702,-7.45351 6.49485,43.24743 14,47c0.67459,0.33729 3.71397,4.28603 5,3c5.73323,-5.73323 -6.77523,-58.22477 -3,-62c1.94951,-1.94951 16.64659,10.41363 21,-7c0.12337,-0.49347 1.59454,-4.40546 1,-5c-3.62127,-3.62127 -5.58166,-10.29083 -9,-12c-11.3083,-5.65415 -41.42544,13.47515 -52,17c-9.48798,3.16266 -21.03527,0.51764 -30,5c-0.85192,0.42596 -3.23236,0.23236 -4,1c-3.79109,3.79109 -5,9.85585 -5,16	1	0	9	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473676951	10	bloodhound	M94,153c-14.19724,0 -35.65058,4.53411 -45,17c-2.38195,3.17594 -3.7347,9.7347 -6,12	2	0	9	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473679881	10	bloodhound	M176,135c0,1.06319 10,22.91319 10,36	3	0	9	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473725810	11	goldenretriever	M167,112c8.78889,0 17.57587,-1.42413 24,5c3.77935,3.77935 3.88185,10.88185 7,14c6.1429,6.1429 15.83712,-3.14013 18,12c0.12333,0.86329 2.48797,8.02405 2,9c-3.51173,7.02345 -29,-6 -29,-6c0,0 24.68257,6.63486 21,14c-4.55443,9.10887 -21.03243,-3.93514 -24,2c-7.85537,15.71075 -3.24717,37.2585 2,53c1.2237,3.6711 6.75312,15.87656 9,17c0.94281,0.4714 3.74536,0.25464 3,1c-0.84153,0.84153 -7.2316,-1.69264 -8,-2c-15.72367,-6.28947 -30,-32.04179 -30,-48c0,-0.75173 7.50441,11.03529 8,15c0.73731,5.89851 5.24351,36.17099 -2,41c-20.09909,13.39939 -32.03167,-47.06333 -35,-53c-0.64089,-1.28177 -28,-13 -28,-13c0,0 -0.40423,3.3831 0,5c2.63975,10.55898 11.8095,23.97626 7,36c-10.95507,27.38767 -25,-29.62977 -25,-42c0,-1.33333 0.26149,2.69256 0,4c-0.91482,4.57412 -3.47018,13.20527 -6,17c-6.42398,9.63597 -18.35891,37.05137 -32,20c-16.54777,-20.68472 -0.40958,-77.40958 24,-53c3.56682,3.56682 4.25586,-10.48829 2,-15c-4.28729,-8.57458 -35.73471,-6.89794 -21,-29c6.12857,-9.19286 37.3832,12.3832 41,16c5.36048,5.36048 54.36737,-9.68369 61,-13c3.7922,-1.8961 16,-7.72829 16,-6	1	0	10	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473770139	12	pigeon	M245,71c-11.15512,-5.57756 -32.50156,-29.74922 -48,-22c-15.1224,7.5612 -13.10745,37.85957 -15,53c-2.93057,23.44452 -20.17843,42.23652 -39,54c-16.26673,10.1667 -37.06399,9.53199 -52,17c-6.19944,3.09972 -16.47309,-1.26345 -23,2c-4.33799,2.169 -1.92467,-3.92467 1,-1c4.14338,4.14338 1.95935,22.47968 -9,17c-3.92145,-1.96073 8.61568,-2 13,-2c1.66667,0 -3.33333,0 -5,0c-3,0 -6,0 -9,0c-9.60732,0 -15.89054,3.97264 -24,6c-0.45733,0.11433 -1.33333,0.66667 -1,1c3.24016,3.24016 14.41429,0.41429 17,3c0.62749,0.62749 63.54784,14.72871 74,21c15.30091,9.18054 23.07796,20.66237 36,31c6.51422,5.21138 10.71042,22.85521 17,26c0.42317,0.21158 4,-0.5347 4,1c0,1.76064 -3.83668,-2.34671 -4,-3c-1.03113,-4.12451 -3,-8.9294 -3,-13c0,-14.96009 -10,-29.41264 -10,-30c0,-3.72823 17.07629,6.07629 18,7c5.97329,5.97329 13.7835,21.35051 16,28c0.22137,0.66412 2.61819,3.38181 3,3c11.13497,-11.13497 -3.44116,-37.44116 -10,-44c-0.2027,-0.2027 -2.24324,-2.75676 -2,-3c0.56075,-0.56075 29.964,1.39334 41,-17c6.01097,-10.01829 30.47839,-56.04322 25,-67c-7.21335,-14.4267 -21,-14.33166 -21,-46c0,-1.51577 -0.97449,-9.02551 0,-10c4.48915,-4.48915 19.22956,3.45912 21,7c0.21004,0.42008 1.001,3.999 2,3c0.83457,-0.83457 2.58256,-10.33025 3,-12c3.42399,-13.69595 -22,-15.16249 -22,-17	1	0	11	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473801838	13	beetle	M101,94c14.90894,0 59.11389,-3.88611 68,5c5.23812,5.23812 -2.35335,27.64665 3,33c2.34923,2.34923 8.40118,4.40118 11,7c2.90201,2.90201 -4.44491,17.66527 -3,22c0.47516,1.42547 1.43996,1.43996 2,2c2.73312,2.73312 6.02072,8.02072 8,10c0.32332,0.32332 0,39.26667 0,44c0,0.64368 0.36782,3.81609 0,4c-10.05586,5.02793 -105.95264,3.04736 -111,-2c-0.70711,-0.70711 0,-2 0,-3c0,-5.33172 -10.69179,-31.30821 -5,-37c1.594,-1.594 7.53701,-0.53701 9,-2c0.26471,-0.26471 0,-2.58824 0,-3c0,-10.15062 -6.56921,-16.86158 0,-30c1.68687,-3.37374 8.81036,-0.81036 11,-3c1.73714,-1.73714 -11.50556,-52 14,-52	1	0	12	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473808000	13	beetle	M105,122c0,10.0054 41.4955,11.5045 47,6c0.84984,-0.84984 -0.92503,-2.46252 -2,-3c-8.28178,-4.14089 -21.92795,-3 -32,-3c-3.66667,0 -13.59272,-2.59272 -11,0c5.94171,5.94171 18.93203,2 25,2c2.33333,0 4.66667,0 7,0c1.66667,0 6.66667,0 5,0c-8.66667,0 -17.33333,0 -26,0c-21.26686,0 19.18043,0 27,0	2	0	12	stroke
pilot1	5034-7b58800e-9ac1-4d02-92a8-2b254989f56a	1506473810777	13	beetle	M101,210c0,6.53592 -5.09775,-1 0,-1c4.43983,0 7.45842,3 1,3c-1.33333,0 -2.80743,0.59628 -4,0c-3.40399,-1.702 -1.98813,-6.32542 3,-3c1.10319,0.73546 2,1.70639 2,3	3	0	12	stroke
